iter	Logloss
0	0.6411854254
1	0.5942872487
2	0.5499136246
3	0.5161230803
4	0.4839217287
5	0.4552868349
6	0.4304348331
7	0.4086485635
8	0.3892784227
9	0.3745757382
10	0.3592699972
11	0.3445569846
12	0.3354996897
13	0.324238997
14	0.3166857052
15	0.3073873504
16	0.3001597303
17	0.2929877152
18	0.2851059059
19	0.2800715255
20	0.2760133255
21	0.2719904381
22	0.2685912694
23	0.2647764855
24	0.2603763588
25	0.2570959298
26	0.2540234249
27	0.252036505
28	0.2495867625
29	0.2472073287
30	0.2455834438
31	0.2440287359
32	0.242564982
33	0.24145012
34	0.2401781277
35	0.2389356532
36	0.2374273544
37	0.2364789197
38	0.2353380758
39	0.234746263
40	0.2335200619
41	0.2328622795
42	0.2321899587
43	0.2315420972
44	0.2307117573
45	0.2299892789
46	0.2291389445
47	0.2282655565
48	0.2277973475
49	0.2270268859
50	0.2265370047
51	0.2260674915
52	0.2256820682
53	0.2251774498
54	0.2245912829
55	0.2241114149
56	0.2233304005
57	0.2228515038
58	0.2222039505
59	0.2218426148
60	0.2214780636
61	0.2210186419
62	0.2204088993
63	0.219880556
64	0.2195266498
65	0.2189809774
66	0.218643653
67	0.2183647343
68	0.2180712091
69	0.2176280101
70	0.217369739
71	0.217086734
72	0.2166595333
73	0.2164327612
74	0.2161326157
75	0.2155848931
76	0.215389019
77	0.2149668046
78	0.2144784132
79	0.2143045816
80	0.2139061117
81	0.2137457186
82	0.2134561051
83	0.2131308125
84	0.2126882786
85	0.2121728212
86	0.2113749894
87	0.2109917646
88	0.2106442632
89	0.2101480994
90	0.2099213069
91	0.2096789479
92	0.2093434922
93	0.2089898914
94	0.2087796257
95	0.2085982624
96	0.2084542528
97	0.2082409637
98	0.2079012441
99	0.2076191463
100	0.2071873781
101	0.2065225335
102	0.2062813502
103	0.2059551496
104	0.2054625784
105	0.2053362404
106	0.2049981261
107	0.2048592361
108	0.2046666483
109	0.2045039806
110	0.2043472127
111	0.2040656589
112	0.2038141015
113	0.2035248512
114	0.2033675757
115	0.2031400878
116	0.2029954144
117	0.2029128117
118	0.2027555142
119	0.2025516539
120	0.2024220351
121	0.2022321074
122	0.2019278512
123	0.2017071953
124	0.2016163263
125	0.2013338484
126	0.2011154661
127	0.201019838
128	0.2009473437
129	0.200848768
130	0.2007402381
131	0.2005813761
132	0.2003722275
133	0.2002179519
134	0.200087178
135	0.199910446
136	0.1997241648
137	0.1995524437
138	0.1994303305
139	0.1992640043
140	0.199044128
141	0.1987664395
142	0.1986192551
143	0.1984368698
144	0.1982192669
145	0.1980850993
146	0.198015249
147	0.1976864087
148	0.1975183022
149	0.1973070006
150	0.1972130563
151	0.1971466933
152	0.1970289497
153	0.1969417252
154	0.1967976945
155	0.1966603339
156	0.1965893284
157	0.196390078
158	0.1962746665
159	0.196113816
160	0.1960555245
