iter	Passed	Remaining
0	193	192993
1	209	104706
2	224	74655
3	238	59405
4	250	49813
5	265	43918
6	278	39481
7	292	36221
8	306	33694
9	321	31831
10	337	30314
11	350	28897
12	364	27642
13	376	26516
14	388	25488
15	402	24738
16	415	24052
17	428	23401
18	441	22804
19	453	22202
20	468	21846
21	482	21462
22	497	21122
23	512	20853
24	530	20704
25	548	20547
26	563	20315
27	584	20302
28	601	20136
29	617	19968
30	629	19687
31	646	19549
32	661	19374
33	675	19205
34	690	19035
35	704	18861
36	719	18722
37	733	18561
38	753	18557
39	771	18504
40	788	18448
41	802	18295
42	814	18129
43	824	17920
44	838	17798
45	853	17694
46	867	17583
47	880	17472
48	898	17440
49	915	17387
50	929	17297
51	943	17199
52	954	17060
53	969	16982
54	984	16914
55	999	16847
56	1015	16793
57	1029	16718
58	1044	16655
59	1059	16604
60	1073	16531
61	1084	16409
62	1097	16330
63	1110	16244
64	1125	16183
65	1139	16129
66	1155	16086
67	1167	16000
68	1180	15930
69	1195	15884
70	1210	15832
71	1223	15772
72	1236	15706
73	1249	15631
74	1260	15545
75	1272	15475
76	1285	15414
77	1298	15349
78	1309	15267
79	1323	15223
80	1338	15180
81	1352	15137
82	1366	15094
83	1380	15050
84	1391	14977
85	1405	14932
86	1418	14888
87	1432	14847
88	1445	14798
89	1456	14728
90	1469	14680
91	1482	14629
92	1495	14585
93	1506	14519
94	1518	14469
95	1532	14434
96	1546	14399
97	1560	14358
98	1570	14291
99	1584	14259
100	1597	14222
101	1610	14180
102	1624	14147
103	1639	14122
104	1655	14113
105	1677	14144
106	1696	14155
107	1715	14170
108	1739	14216
109	1761	14254
110	1781	14267
111	1807	14333
112	1827	14348
113	1847	14354
114	1873	14421
115	1893	14430
116	1910	14415
117	1926	14399
118	1941	14376
119	1957	14351
120	1969	14310
121	1983	14277
122	1998	14249
123	2010	14201
124	2025	14176
125	2039	14148
126	2053	14116
127	2067	14085
128	2082	14061
129	2096	14029
130	2109	13996
131	2121	13949
132	2133	13906
133	2144	13862
134	2156	13814
135	2168	13778
136	2180	13736
137	2193	13704
138	2208	13677
139	2218	13627
140	2232	13600
141	2246	13574
142	2259	13538
143	2269	13488
144	2281	13452
145	2294	13419
146	2306	13386
147	2317	13341
148	2329	13305
149	2342	13274
150	2352	13228
151	2364	13189
152	2376	13156
153	2387	13117
154	2397	13072
155	2411	13048
156	2424	13018
157	2437	12987
158	2447	12944
159	2466	12948
160	2478	12916
161	2491	12889
162	2504	12859
163	2515	12820
164	2526	12783
165	2538	12756
166	2552	12731
167	2567	12717
168	2581	12692
169	2594	12667
170	2608	12644
171	2622	12626
172	2634	12595
173	2646	12561
174	2656	12523
175	2669	12496
176	2681	12470
177	2691	12427
178	2703	12400
179	2716	12376
180	2729	12349
181	2738	12310
182	2751	12282
183	2763	12256
184	2773	12217
185	2785	12189
186	2797	12164
187	2808	12131
188	2819	12098
189	2831	12072
190	2844	12047
191	2853	12010
192	2866	11986
193	2879	11962
194	2892	11942
195	2903	11911
196	2915	11883
197	2927	11858
198	2938	11829
199	2949	11797
200	2962	11777
201	2975	11754
202	2987	11731
203	2998	11698
204	3010	11674
205	3022	11650
206	3032	11617
207	3044	11593
208	3057	11571
209	3069	11545
210	3078	11512
211	3091	11490
212	3103	11465
213	3113	11434
214	3125	11410
215	3136	11384
216	3146	11352
217	3158	11329
218	3170	11307
219	3182	11285
220	3192	11254
221	3204	11231
222	3218	11213
223	3238	11219
224	3251	11200
225	3262	11171
226	3272	11142
227	3284	11121
228	3296	11099
229	3306	11070
230	3318	11047
231	3331	11026
232	3340	10996
233	3353	10976
234	3366	10958
235	3378	10938
236	3388	10908
237	3400	10887
238	3413	10867
239	3423	10840
240	3434	10816
241	3446	10796
242	3460	10779
243	3469	10750
244	3482	10730
245	3494	10710
246	3506	10689
247	3517	10665
248	3530	10649
249	3544	10632
250	3557	10616
251	3567	10590
252	3581	10575
253	3597	10564
254	3610	10547
255	3624	10534
256	3637	10516
257	3648	10492
258	3662	10477
259	3676	10462
260	3690	10448
261	3703	10433
262	3714	10409
263	3727	10391
264	3740	10374
265	3753	10357
266	3767	10342
267	3777	10318
268	3792	10305
269	3806	10291
270	3821	10280
271	3836	10269
272	3851	10257
273	3866	10245
274	3880	10230
275	3892	10210
276	3906	10196
277	3921	10183
278	3934	10167
279	3947	10150
280	3958	10128
281	3970	10109
282	3982	10090
283	3995	10072
284	4004	10047
285	4016	10028
286	4029	10011
287	4039	9986
288	4051	9966
289	4063	9948
290	4075	9929
291	4085	9905
292	4097	9887
293	4109	9869
294	4119	9844
295	4131	9826
296	4143	9807
297	4155	9789
298	4166	9767
299	4179	9751
300	4190	9730
301	4200	9707
302	4212	9690
303	4224	9672
304	4234	9649
305	4246	9631
306	4258	9613
307	4271	9595
308	4280	9572
309	4292	9555
310	4305	9537
311	4314	9514
312	4326	9495
313	4338	9478
314	4350	9460
315	4360	9439
316	4373	9422
317	4385	9405
318	4395	9383
319	4408	9367
320	4420	9350
321	4433	9334
322	4443	9313
323	4456	9297
324	4468	9280
325	4478	9259
326	4490	9241
327	4503	9227
328	4516	9212
329	4526	9189
330	4538	9172
331	4551	9157
332	4564	9141
333	4573	9120
334	4587	9106
335	4599	9089
336	4611	9073
337	4621	9051
338	4633	9034
339	4644	9015
340	4654	8995
341	4668	8981
342	4680	8965
343	4692	8947
344	4702	8927
345	4714	8911
346	4726	8894
347	4736	8873
348	4748	8857
349	4761	8842
350	4772	8824
351	4782	8804
352	4795	8789
353	4808	8774
354	4819	8756
355	4831	8740
356	4846	8728
357	4859	8714
358	4873	8700
359	4886	8687
360	4898	8670
361	4911	8656
362	4924	8640
363	4932	8618
364	4944	8601
365	4957	8586
366	4970	8573
367	4984	8561
368	4995	8543
369	5008	8528
370	5021	8513
371	5033	8497
372	5043	8478
373	5056	8463
374	5068	8447
375	5078	8427
376	5090	8411
377	5102	8395
378	5113	8379
379	5124	8360
380	5137	8346
381	5150	8331
382	5159	8311
383	5172	8296
384	5185	8282
385	5197	8267
386	5207	8248
387	5219	8232
388	5232	8218
389	5248	8208
390	5257	8189
391	5269	8172
392	5281	8157
393	5294	8142
394	5304	8124
395	5316	8108
396	5328	8093
397	5337	8073
398	5349	8058
399	5362	8043
400	5373	8027
401	5383	8008
402	5396	7994
403	5409	7980
404	5419	7962
405	5431	7947
406	5443	7931
407	5456	7916
408	5466	7898
409	5478	7883
410	5491	7870
411	5548	7918
412	5566	7911
413	5592	7916
414	5605	7902
415	5618	7887
416	5628	7868
417	5640	7853
418	5653	7839
419	5663	7821
420	5675	7805
421	5687	7790
422	5699	7773
423	5708	7755
424	5721	7740
425	5733	7725
426	5743	7707
427	5755	7692
428	5767	7676
429	5777	7657
430	5788	7642
431	5801	7628
432	5813	7612
433	5824	7595
434	5836	7580
435	5847	7564
436	5857	7546
437	5869	7531
438	5881	7515
439	5890	7497
440	5904	7484
441	5916	7469
442	5929	7455
443	5940	7439
444	5952	7424
445	5967	7412
446	5981	7399
447	5996	7388
448	6009	7374
449	6022	7360
450	6035	7346
451	6049	7334
452	6065	7324
453	6085	7318
454	6101	7308
455	6118	7299
456	6134	7289
457	6153	7282
458	6166	7268
459	6182	7257
460	6197	7246
461	6214	7237
462	6231	7227
463	6247	7217
464	6260	7203
465	6274	7189
466	6285	7174
467	6298	7159
468	6310	7144
469	6321	7128
470	6333	7113
471	6346	7099
472	6358	7084
473	6370	7069
474	6382	7053
475	6393	7038
476	6407	7025
477	6421	7012
478	6433	6997
479	6445	6982
480	6456	6966
481	6472	6955
482	6483	6939
483	6493	6922
484	6503	6905
485	6514	6889
486	6526	6875
487	6536	6858
488	6550	6844
489	6562	6830
490	6572	6813
491	6584	6798
492	6596	6783
493	6608	6768
494	6619	6753
495	6633	6740
496	6645	6726
497	6657	6711
498	6668	6694
499	6680	6680
500	6692	6665
501	6701	6648
502	6731	6651
503	6746	6639
504	6758	6624
505	6768	6607
506	6778	6591
507	6790	6577
508	6803	6562
509	6812	6545
510	6824	6531
511	6836	6516
512	6846	6499
513	6859	6485
514	6872	6472
515	6883	6456
516	6893	6439
517	6904	6424
518	6916	6410
519	6926	6393
520	6938	6379
521	6952	6366
522	6963	6351
523	6973	6335
524	6986	6320
525	6998	6306
526	7007	6289
527	7021	6276
528	7033	6262
529	7045	6247
530	7054	6231
531	7067	6217
532	7079	6203
533	7089	6186
534	7100	6171
535	7112	6156
536	7121	6140
537	7134	6126
538	7147	6113
539	7160	6099
540	7170	6083
541	7182	6069
542	7195	6055
543	7205	6040
544	7216	6025
545	7229	6011
546	7241	5997
547	7251	5981
548	7263	5967
549	7276	5953
550	7288	5939
551	7298	5923
552	7311	5909
553	7324	5896
554	7334	5880
555	7347	5867
556	7360	5853
557	7376	5843
558	7391	5831
559	7409	5821
560	7424	5809
561	7442	5800
562	7462	5792
563	7476	5780
564	7491	5767
565	7528	5772
566	7548	5764
567	7560	5750
568	7573	5736
569	7592	5727
570	7608	5716
571	7625	5705
572	7637	5691
573	7648	5676
574	7659	5661
575	7673	5648
576	7685	5634
577	7695	5618
578	7707	5604
579	7719	5590
580	7730	5575
581	7742	5560
582	7754	5546
583	7766	5532
584	7777	5517
585	7790	5503
586	7801	5489
587	7813	5475
588	7825	5460
589	7838	5447
590	7850	5432
591	7862	5418
592	7873	5404
593	7887	5391
594	7899	5376
595	7913	5364
596	7926	5350
597	7939	5337
598	7950	5322
599	7961	5307
600	7975	5294
601	7988	5281
602	8000	5267
603	8012	5253
604	8025	5240
605	8039	5227
606	8052	5213
607	8065	5200
608	8077	5186
609	8091	5173
610	8105	5160
611	8119	5147
612	8133	5134
613	8145	5121
614	8159	5107
615	8174	5095
616	8206	5094
617	8222	5082
618	8237	5070
619	8252	5057
620	8267	5045
621	8284	5034
622	8299	5022
623	8313	5009
624	8327	4996
625	8342	4984
626	8353	4969
627	8369	4957
628	8383	4944
629	8402	4934
630	8418	4923
631	8435	4911
632	8451	4899
633	8468	4888
634	8485	4877
635	8503	4866
636	8525	4858
637	8544	4848
638	8564	4838
639	8580	4826
640	8596	4814
641	8613	4803
642	8635	4794
643	8652	4783
644	8670	4772
645	8686	4759
646	8705	4749
647	8720	4737
648	8737	4725
649	8754	4713
650	8771	4702
651	8787	4690
652	8804	4678
653	8821	4667
654	8838	4655
655	8854	4643
656	8870	4631
657	8888	4619
658	8904	4607
659	8920	4595
660	8936	4583
661	8951	4570
662	8966	4557
663	8982	4545
664	8997	4532
665	9012	4519
666	9027	4506
667	9045	4495
668	9057	4481
669	9075	4469
670	9100	4462
671	9125	4454
672	9150	4445
673	9174	4437
674	9198	4428
675	9226	4422
676	9255	4415
677	9278	4406
678	9295	4394
679	9311	4381
680	9324	4368
681	9340	4355
682	9355	4341
683	9372	4330
684	9389	4318
685	9405	4304
686	9419	4291
687	9436	4279
688	9451	4266
