Rank,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
1,Blending,0.9098,0.66,0.47,0.55,0.9353
2,Stacking,0.9102,0.66,0.48,0.56,0.9347
3,LightGBM,0.909,0.65,0.48,0.55,0.9346
4,CatBoost,0.9095,0.65,0.48,0.55,0.9325
5,XGBoost,0.9052,0.63,0.47,0.54,0.9277
6,LightGBM + SMOTE,0.8474,0.43,0.87,0.57,0.9238
7,Random Forest,0.906,0.66,0.4,0.5,0.9232
8,Gradient Boosting,0.9042,0.65,0.4,0.49,0.9217
9,Logistic Regression,0.9019,0.65,0.35,0.46,0.9056
10,SVM,0.9016,0.65,0.34,0.44,0.8909
11,Naive Bayes,0.8709,0.43,0.3,0.35,0.7957
